area_name,area_type,time_of_day,lighting_quality,crime_rate,crowd_density,incident_count,cctv_coverage,police_distance_km,safety_score,safety_label,lat,lng,ward_no,women_safety_risk,street_light_coverage,police_station_nearby,ncrb_crime_intensity
Tejpur Gadbadi,isolated,8,poor,high,low,56,no,9.5,8.4,Unsafe,22.7534,75.9345,73,low,none,0,0.77
Bicholi Mardana,residential,8,poor,medium,low,16,no,5.5,10.7,Unsafe,22.7734,75.9234,77,medium,partial,0,0.43
Geeta Bhawan,residential,11,good,low,medium,5,yes,2.8,93.0,Safe,22.7242,75.882,38,low,full,0,0.4
Limbodi,residential,18,medium,medium,low,5,no,5.5,30.7,Unsafe,22.8123,75.8456,84,medium,partial,0,0.43
Hira Nagar,residential,21,medium,low,medium,12,no,3.0,42.4,Medium,22.7534,75.8823,62,low,partial,0,0.56
Rajwada,market,2,medium,medium,low,19,yes,1.5,19.1,Unsafe,22.718,75.8573,8,medium,partial,1,0.79
Lasudia,residential,16,poor,medium,low,10,no,5.0,34.2,Unsafe,22.7567,75.9234,72,low,partial,1,0.38
Navlakha,commercial,19,medium,low,high,6,yes,1.8,73.0,Safe,22.7156,75.8689,20,medium,partial,1,0.4
Bambori,isolated,4,poor,high,low,28,no,8.5,6.3,Unsafe,22.8234,75.8623,86,low,none,0,1.04
Govind Colony,residential,11,medium,low,medium,14,no,3.8,62.6,Medium,22.7312,75.8912,47,low,partial,0,0.44
Nipania,residential,15,good,low,medium,1,yes,2.2,92.7,Safe,22.7634,75.9123,71,low,partial,0,0.43
Navlakha,commercial,14,medium,low,high,3,yes,1.8,80.7,Safe,22.7156,75.8689,20,medium,partial,1,0.43
Geeta Bhawan,residential,1,good,low,low,2,yes,2.8,59.8,Medium,22.7242,75.882,38,low,full,0,0.52
Manik Bagh,residential,16,good,low,medium,5,yes,2.1,92.6,Safe,22.6934,75.8823,6,low,partial,0,0.44
Musakhedi,residential,5,poor,high,low,31,no,6.0,24.0,Unsafe,22.7134,75.8734,27,medium,partial,0,0.6
Pardeshipura,industrial,22,medium,medium,low,19,no,5.0,24.3,Unsafe,22.7289,75.8534,33,medium,partial,1,0.94
Sapna Sangeeta,commercial,12,good,low,high,4,yes,1.8,95.5,Safe,22.7273,75.88,41,low,full,0,0.45
Nemawar Road,isolated,23,poor,high,low,24,no,7.5,21.2,Unsafe,22.6543,75.8234,2,high,none,0,0.96
Hira Nagar,residential,18,medium,low,medium,10,no,3.0,68.7,Medium,22.7534,75.8823,62,low,partial,0,0.43
Rau Bypass,isolated,0,poor,high,low,32,no,7.5,11.1,Unsafe,22.6623,75.8034,1,high,none,0,1.03
Loha Mandi,industrial,14,poor,high,low,30,no,7.0,7.0,Unsafe,22.7089,75.8512,14,high,none,0,0.66
Govind Colony,residential,20,medium,low,medium,9,no,3.8,41.4,Medium,22.7312,75.8912,47,low,partial,0,0.56
South Tukoganj,commercial,1,good,low,low,2,yes,0.8,58.7,Medium,22.7148,75.8826,12,low,full,0,0.63
AB Road,commercial,17,good,low,high,3,yes,1.3,90.7,Safe,22.7233,75.8958,52,low,full,0,0.43
Scheme 78,residential,17,good,low,medium,2,yes,2.2,87.6,Safe,22.7467,75.8756,78,low,full,0,0.44
Dwarkapuri,residential,3,good,low,low,5,yes,2.5,59.5,Medium,22.7423,75.8867,46,low,partial,0,0.55
Lasudia,residential,12,poor,medium,low,8,no,5.0,34.3,Unsafe,22.7567,75.9234,72,low,partial,1,0.37
Malwa Mill,industrial,10,poor,high,low,17,no,6.0,18.7,Unsafe,22.7234,75.8345,16,high,none,0,0.7
South Tukoganj,commercial,8,good,low,high,1,yes,0.8,90.3,Safe,22.7148,75.8826,12,low,full,0,0.47
Scheme 78,residential,21,good,low,medium,1,yes,2.2,66.7,Medium,22.7467,75.8756,78,low,full,0,0.53
Chhota Bangarda,residential,22,medium,medium,low,11,no,5.0,14.6,Unsafe,22.7823,75.9123,76,low,none,0,0.54
Bypass Roads,isolated,21,poor,high,low,54,no,9.0,13.8,Unsafe,22.7823,75.8789,80,high,none,0,1.05
Kanadiya Road,isolated,15,poor,high,low,19,no,8.0,7.4,Unsafe,22.7823,75.8456,82,low,partial,0,0.81
South Tukoganj,commercial,7,good,low,high,3,yes,0.8,90.6,Safe,22.7148,75.8826,12,low,full,0,0.44
Bada Rawla Naka,market,6,medium,medium,low,9,no,3.5,39.0,Unsafe,22.7089,75.8556,19,low,partial,0,0.6
Bambori,isolated,22,poor,high,low,44,no,8.5,14.9,Unsafe,22.8234,75.8623,86,low,none,0,0.96
Chambal Colony,residential,16,poor,high,low,27,no,6.5,5.7,Unsafe,22.7289,75.8478,35,low,partial,0,0.37
Anand Bazaar,commercial,17,good,low,high,2,yes,1.6,90.7,Safe,22.7167,75.8623,21,low,partial,0,0.43
Tejaji Nagar,residential,4,medium,medium,low,20,no,3.2,7.3,Unsafe,22.6934,75.8345,23,medium,partial,0,0.57
Aerodrome Road,commercial,3,good,low,low,1,yes,2.0,59.0,Medium,22.7234,75.8012,25,low,partial,1,0.6
South Tukoganj,commercial,22,good,low,medium,3,yes,0.8,66.0,Medium,22.7148,75.8826,12,low,full,0,0.6
Hatod Road,isolated,1,poor,high,low,30,no,8.5,23.2,Unsafe,22.7823,75.7934,81,low,none,0,0.96
Manik Bagh,residential,19,good,low,medium,3,yes,2.1,87.9,Safe,22.6934,75.8823,6,low,partial,0,0.41
Pigdambar,isolated,5,poor,medium,low,15,no,8.0,10.2,Unsafe,22.8234,75.9234,87,low,none,0,0.97
Siyaganj,market,8,medium,medium,high,11,yes,2.0,42.6,Medium,22.7212,75.8623,17,high,partial,1,0.64
South Tukoganj,commercial,11,good,low,high,3,yes,0.8,95.1,Safe,22.7148,75.8826,12,low,full,0,0.49
Sarafa Bazar,market,14,good,low,high,8,yes,0.9,91.4,Safe,22.7167,75.8554,9,low,partial,0,0.56
Bhanwarkuan,residential,9,medium,medium,medium,8,no,3.5,48.3,Medium,22.6812,75.8645,3,low,partial,0,0.37
South Tukoganj,commercial,6,good,low,medium,1,yes,0.8,87.3,Safe,22.7148,75.8826,12,low,full,0,0.47
Lasudia,residential,0,poor,medium,low,10,no,5.0,7.7,Unsafe,22.7567,75.9234,72,low,partial,1,0.53
Sapna Sangeeta,commercial,19,good,low,high,1,yes,1.8,90.9,Safe,22.7273,75.88,41,low,full,0,0.41
Sanwer Road Indl,industrial,4,poor,high,low,49,no,7.0,18.3,Unsafe,22.7456,75.8123,74,medium,partial,0,1.02
South Tukoganj,commercial,2,good,low,low,3,yes,0.8,58.6,Medium,22.7148,75.8826,12,low,full,0,0.64
Manik Bagh,residential,20,good,low,medium,3,yes,2.1,66.4,Medium,22.6934,75.8823,6,low,partial,0,0.56
Hira Nagar,residential,7,medium,low,medium,4,no,3.0,71.7,Safe,22.7534,75.8823,62,low,partial,0,0.43
Old Railway Lanes,isolated,21,poor,high,low,39,no,6.5,11.2,Unsafe,22.7134,75.8423,15,high,none,0,1.03
Vijay Nagar,commercial,11,good,low,high,4,yes,1.2,95.8,Safe,22.7343,75.8867,45,low,full,1,0.42
Pipliyahana,residential,2,good,low,low,7,yes,2.6,56.8,Medium,22.6823,75.8934,48,low,partial,0,0.52
Pardeshipura,industrial,2,medium,medium,low,15,no,5.0,15.4,Unsafe,22.7289,75.8534,33,medium,partial,1,0.97
Kesar Bagh,residential,2,good,low,low,2,yes,2.3,59.5,Medium,22.7189,75.8734,29,low,partial,0,0.55
Lasudia,residential,11,poor,medium,low,16,no,5.0,29.0,Unsafe,22.7567,75.9234,72,low,partial,1,0.4
Lasudia,residential,10,poor,medium,low,12,no,5.0,28.8,Unsafe,22.7567,75.9234,72,low,partial,1,0.42
Pipliyahana,residential,23,good,low,low,3,yes,2.6,59.2,Medium,22.6823,75.8934,48,low,partial,0,0.58
Aerodrome Road,commercial,9,good,low,medium,1,yes,2.0,87.0,Safe,22.7234,75.8012,25,low,partial,1,0.5
LIG Colony,residential,12,good,low,medium,2,yes,2.4,93.4,Safe,22.7423,75.8734,55,low,partial,1,0.36
Sapna Sangeeta,commercial,20,good,low,high,4,yes,1.8,68.8,Medium,22.7273,75.88,41,low,full,0,0.62
Rajwada,market,0,medium,medium,low,16,yes,1.5,18.8,Unsafe,22.718,75.8573,8,medium,partial,1,0.82
Dwarkapuri,residential,19,good,low,medium,3,yes,2.5,87.6,Safe,22.7423,75.8867,46,low,partial,0,0.44
Bapat Square,commercial,9,good,low,high,5,yes,1.4,90.8,Safe,22.7234,75.8867,36,low,full,0,0.42
Lasudia,residential,16,poor,medium,low,13,no,5.0,29.3,Unsafe,22.7567,75.9234,72,low,partial,1,0.37
Hatod Road,isolated,19,poor,high,low,49,no,8.5,15.9,Unsafe,22.7823,75.7934,81,low,none,0,0.79
Tilak Nagar,residential,10,medium,medium,low,15,no,4.2,41.1,Medium,22.7089,75.8734,10,low,partial,1,0.39
Pigdambar,isolated,17,poor,medium,low,26,no,8.0,8.7,Unsafe,22.8234,75.9234,87,low,none,0,0.78
Bypass Roads,isolated,0,poor,high,low,33,no,9.0,24.4,Unsafe,22.7823,75.8789,80,high,none,0,0.97
Nipania,residential,18,good,low,medium,3,yes,2.2,87.6,Safe,22.7634,75.9123,71,low,partial,0,0.44
Bambori,isolated,21,poor,high,low,44,no,8.5,20.5,Unsafe,22.8234,75.8623,86,low,none,0,0.99
Murai Mohalla,residential,10,medium,medium,low,21,no,4.5,18.6,Unsafe,22.7145,75.8478,13,high,partial,0,0.44
Nanda Nagar,residential,3,medium,low,low,6,yes,2.5,48.3,Medium,22.7456,75.8956,64,low,partial,0,0.57
Hatod Road,isolated,5,poor,high,low,31,no,8.5,23.8,Unsafe,22.7823,75.7934,81,low,none,0,0.96
Sudama Nagar,residential,8,medium,medium,low,7,no,4.5,40.5,Medium,22.6891,75.8731,4,low,partial,0,0.45
Malwa Mill,industrial,17,poor,high,low,30,no,6.0,22.9,Unsafe,22.7234,75.8345,16,high,none,0,0.73
Bhawarkuan,residential,7,medium,medium,medium,9,no,3.8,47.5,Medium,22.6812,75.8645,3,low,partial,1,0.45
Mhow Road,commercial,12,medium,medium,medium,10,yes,3.5,60.1,Medium,22.6534,75.8234,26,low,partial,0,0.49
Bhagirathpura,residential,23,medium,medium,low,14,no,4.0,17.0,Unsafe,22.7212,75.8489,28,high,partial,0,0.59
Chambal Colony,residential,22,poor,high,low,35,no,6.5,23.4,Unsafe,22.7289,75.8478,35,low,partial,0,0.53
Nemawar Road,isolated,23,poor,high,low,37,no,7.5,6.8,Unsafe,22.6543,75.8234,2,high,none,0,1.0
Bicholi Mardana,residential,19,poor,medium,low,9,no,5.5,16.3,Unsafe,22.7734,75.9234,77,medium,partial,0,0.37
Chappan Dukan,market,6,good,low,medium,5,yes,1.0,86.1,Safe,22.7312,75.8823,43,low,full,0,0.59
Betma Road,isolated,15,poor,high,low,37,no,9.0,8.9,Unsafe,22.7123,75.7723,79,high,none,0,0.76
Tejpur Gadbadi,isolated,20,poor,high,low,39,no,9.5,5.9,Unsafe,22.7534,75.9345,73,low,none,0,0.99
Nanda Nagar,residential,22,medium,low,low,4,yes,2.5,50.9,Medium,22.7456,75.8956,64,low,partial,0,0.61
Tejpur Gadbadi,isolated,14,poor,high,low,43,no,9.5,11.5,Unsafe,22.7534,75.9345,73,low,none,0,0.78
Malwa Mill,industrial,20,poor,high,low,35,no,6.0,12.8,Unsafe,22.7234,75.8345,16,high,none,0,1.01
Rajwada,market,20,medium,medium,high,5,yes,1.5,36.6,Unsafe,22.718,75.8573,8,medium,partial,1,0.84
Bambori,isolated,8,poor,high,low,34,no,8.5,10.4,Unsafe,22.8234,75.8623,86,low,none,0,0.79
Bada Rawla Naka,market,11,medium,medium,medium,8,no,3.5,50.5,Medium,22.7089,75.8556,19,low,partial,0,0.65
Tejpur Gadbadi,isolated,22,poor,high,low,67,no,9.5,21.6,Unsafe,22.7534,75.9345,73,low,none,0,1.05
Scheme 78,residential,8,good,low,medium,3,yes,2.2,87.9,Safe,22.7467,75.8756,78,low,full,0,0.41
Bicholi Mardana,residential,13,poor,medium,low,16,no,5.5,15.8,Unsafe,22.7734,75.9234,77,medium,partial,0,0.42
Siyaganj,market,3,medium,medium,low,18,yes,2.0,10.9,Unsafe,22.7212,75.8623,17,high,partial,1,0.81
Rau,residential,0,medium,low,low,9,no,4.0,34.6,Unsafe,22.6734,75.8123,1,low,partial,1,0.54
Nanda Nagar,residential,2,medium,low,low,6,yes,2.5,47.9,Medium,22.7456,75.8956,64,low,partial,0,0.61
Hatod Road,isolated,13,poor,high,low,56,no,8.5,12.1,Unsafe,22.7823,75.7934,81,low,none,0,0.81
Chambal Colony,residential,1,poor,high,low,39,no,6.5,10.6,Unsafe,22.7289,75.8478,35,low,partial,0,0.56
Rajwada,market,12,medium,medium,high,9,yes,1.5,60.8,Medium,22.718,75.8573,8,medium,partial,1,0.62
Bada Rawla Naka,market,11,medium,medium,medium,10,no,3.5,51.4,Medium,22.7089,75.8556,19,low,partial,0,0.56
Siyaganj,market,18,medium,medium,high,6,yes,2.0,47.9,Medium,22.7212,75.8623,17,high,partial,1,0.61
Loha Mandi,industrial,22,poor,high,low,43,no,7.0,15.9,Unsafe,22.7089,75.8512,14,high,none,0,0.98
