area_name,incident_type,time_of_day,severity,source,women_involved,incident_date,lat,lng
Loha Mandi,abduction,23,high,Synthetic_RealPattern,1,2023-10-04,22.707585607058125,75.85419648235462
Loha Mandi,robbery,1,high,Synthetic_RealPattern,1,2024-07-24,22.70915617649895,75.84848927223317
Loha Mandi,robbery,22,high,Synthetic_RealPattern,0,2023-02-27,22.706745545349847,75.85406304510533
Loha Mandi,assault,22,high,Synthetic_RealPattern,0,2024-02-15,22.710713181884525,75.85064144776435
Loha Mandi,abduction,21,high,Synthetic_RealPattern,1,2024-08-03,22.706347303862078,75.85342452070203
Loha Mandi,abduction,22,high,Synthetic_RealPattern,1,2023-08-06,22.711821321619603,75.85289431290435
Loha Mandi,abduction,23,high,Synthetic_RealPattern,1,2024-02-10,22.71053346861578,75.85160209756593
Loha Mandi,assault,23,high,Synthetic_RealPattern,0,2023-05-27,22.707092294089204,75.85263069525551
Loha Mandi,molestation,21,high,Synthetic_RealPattern,1,2024-07-28,22.705933132702743,75.85347109336782
Loha Mandi,mobile_snatching,22,high,Synthetic_RealPattern,1,2024-08-21,22.71079276857073,75.85062484192991
Loha Mandi,robbery,23,high,Synthetic_RealPattern,0,2024-01-06,22.710141144063087,75.85016219896939
Loha Mandi,chain_snatching,0,high,Synthetic_RealPattern,1,2024-05-20,22.710274043008244,75.8522055603134
Loha Mandi,robbery,20,high,Synthetic_RealPattern,1,2023-04-23,22.710527622080114,75.85304707565166
Loha Mandi,mobile_snatching,21,high,Synthetic_RealPattern,1,2024-11-27,22.706344267910403,75.85277371080866
Loha Mandi,mobile_snatching,20,high,Synthetic_RealPattern,1,2024-01-30,22.708050794371264,75.85298688189316
Loha Mandi,assault,23,high,Synthetic_RealPattern,1,2024-06-25,22.70659521435715,75.85081349988889
Loha Mandi,abduction,20,high,Synthetic_RealPattern,1,2024-11-27,22.711078620555252,75.85310700529706
Loha Mandi,molestation,20,high,Synthetic_RealPattern,1,2024-11-29,22.709639788760967,75.84892125433223
Loha Mandi,assault,22,high,Synthetic_RealPattern,0,2024-10-18,22.707885388149116,75.85146693458778
Loha Mandi,robbery,22,high,Synthetic_RealPattern,0,2024-03-21,22.706281350101715,75.84823455196299
Loha Mandi,molestation,20,high,Synthetic_RealPattern,1,2023-09-27,22.707765893930294,75.85014751497941
Loha Mandi,chain_snatching,21,high,Synthetic_RealPattern,1,2024-06-03,22.70785109993216,75.85039876920924
Loha Mandi,abduction,1,high,Synthetic_RealPattern,1,2023-11-02,22.71027763707003,75.85057703614966
Loha Mandi,robbery,0,high,Synthetic_RealPattern,0,2024-09-15,22.709725344828133,75.85237280324014
Loha Mandi,molestation,22,high,Synthetic_RealPattern,1,2023-06-15,22.711223276455456,75.85053134860763
Loha Mandi,molestation,0,high,Synthetic_RealPattern,1,2023-01-01,22.70873328955097,75.85089216173574
Loha Mandi,chain_snatching,22,high,Synthetic_RealPattern,1,2024-05-15,22.70661756547563,75.84962526478525
Loha Mandi,assault,20,high,Synthetic_RealPattern,0,2024-01-07,22.71017946872334,75.85043951074978
Loha Mandi,molestation,20,high,Synthetic_RealPattern,1,2023-09-04,22.710464710291703,75.84956361776358
Loha Mandi,abduction,20,high,Synthetic_RealPattern,1,2023-03-29,22.70926766318542,75.84863917554262
Loha Mandi,molestation,23,high,Synthetic_RealPattern,1,2023-03-12,22.710525803079726,75.85182069156029
Old Railway Lanes,abduction,21,high,Synthetic_RealPattern,1,2023-05-12,22.713362773578186,75.84330927679133
Old Railway Lanes,robbery,2,high,Synthetic_RealPattern,0,2024-07-16,22.71353639697629,75.84301694207605
Old Railway Lanes,molestation,1,high,Synthetic_RealPattern,1,2023-08-05,22.71296524611015,75.84208096426279
Old Railway Lanes,assault,22,high,Synthetic_RealPattern,0,2024-12-31,22.710552514760465,75.84157871468106
Old Railway Lanes,molestation,0,high,Synthetic_RealPattern,1,2024-03-24,22.71104734856196,75.84448000189742
Old Railway Lanes,robbery,2,high,Synthetic_RealPattern,0,2023-05-04,22.71058857511412,75.84241449071081
Old Railway Lanes,chain_snatching,20,high,Synthetic_RealPattern,1,2023-12-13,22.71421846246758,75.84217509126577
Old Railway Lanes,robbery,22,high,Synthetic_RealPattern,0,2024-08-25,22.71228613588646,75.83945385239484
Old Railway Lanes,abduction,20,high,Synthetic_RealPattern,1,2024-12-25,22.71345142414699,75.84134748696574
Old Railway Lanes,chain_snatching,19,high,Synthetic_RealPattern,1,2023-08-23,22.715845398843555,75.84158117371271
Old Railway Lanes,chain_snatching,19,high,Synthetic_RealPattern,1,2023-12-05,22.711895753374893,75.84169293668538
Old Railway Lanes,abduction,22,high,Synthetic_RealPattern,1,2023-10-13,22.712862297538212,75.84278103421536
Old Railway Lanes,molestation,2,high,Synthetic_RealPattern,1,2023-08-08,22.71493330683126,75.84250161528036
Old Railway Lanes,molestation,21,high,Synthetic_RealPattern,1,2024-08-07,22.71177278899295,75.84294743055675
Old Railway Lanes,mobile_snatching,2,high,Synthetic_RealPattern,0,2023-09-06,22.710861879458974,75.84388929956924
Old Railway Lanes,chain_snatching,22,high,Synthetic_RealPattern,1,2023-04-07,22.712138508717484,75.8441779144323
Old Railway Lanes,mobile_snatching,1,high,Synthetic_RealPattern,0,2023-12-29,22.711367327723526,75.84360873845735
Old Railway Lanes,abduction,2,high,Synthetic_RealPattern,1,2023-02-25,22.715978185914054,75.84503314217572
Old Railway Lanes,mobile_snatching,20,high,Synthetic_RealPattern,1,2023-03-04,22.715248722277387,75.83940939549605
Old Railway Lanes,robbery,0,high,Synthetic_RealPattern,0,2023-04-22,22.71420042253906,75.8404746679141
Old Railway Lanes,mobile_snatching,22,high,Synthetic_RealPattern,0,2024-07-03,22.715628763541126,75.83934537724987
Old Railway Lanes,assault,1,high,Synthetic_RealPattern,0,2023-07-07,22.715222032461394,75.84318484828492
Old Railway Lanes,mobile_snatching,22,high,Synthetic_RealPattern,1,2023-03-19,22.711519420353316,75.8446881832937
Old Railway Lanes,abduction,20,high,Synthetic_RealPattern,1,2023-02-21,22.71575535399094,75.84076089377945
Old Railway Lanes,robbery,19,high,Synthetic_RealPattern,0,2023-04-06,22.713636053451495,75.84486220726878
Old Railway Lanes,mobile_snatching,1,high,Synthetic_RealPattern,0,2024-05-12,22.715244640930983,75.83966160434173
Old Railway Lanes,robbery,1,high,Synthetic_RealPattern,0,2023-03-02,22.715776547799543,75.84490661616083
Old Railway Lanes,assault,19,high,Synthetic_RealPattern,0,2024-02-04,22.712308020849832,75.84140973612344
Old Railway Lanes,abduction,23,high,Synthetic_RealPattern,1,2024-03-09,22.711060311547165,75.8399085249707
Old Railway Lanes,robbery,2,high,Synthetic_RealPattern,0,2023-06-08,22.71176761097525,75.84221523055511
Old Railway Lanes,molestation,22,high,Synthetic_RealPattern,1,2023-03-01,22.712962646731757,75.84084065940631
Old Railway Lanes,chain_snatching,19,high,Synthetic_RealPattern,1,2023-11-18,22.715308088595535,75.84100923741177
Old Railway Lanes,mobile_snatching,19,high,Synthetic_RealPattern,1,2024-08-21,22.715564383499537,75.84114373978956
Old Railway Lanes,molestation,21,high,Synthetic_RealPattern,1,2023-02-28,22.710441712783187,75.844118155387
Old Railway Lanes,chain_snatching,20,high,Synthetic_RealPattern,1,2023-07-10,22.713464483815464,75.84253496766004
Old Railway Lanes,robbery,20,high,Synthetic_RealPattern,0,2024-11-22,22.71290446601889,75.84116784619494
Old Railway Lanes,robbery,20,high,Synthetic_RealPattern,1,2024-08-06,22.711732646862824,75.84296200269986
Old Railway Lanes,chain_snatching,19,high,Synthetic_RealPattern,1,2024-09-26,22.711119192204002,75.84359690404533
Old Railway Lanes,molestation,1,high,Synthetic_RealPattern,1,2024-11-04,22.71242569102842,75.8409357440044
Old Railway Lanes,robbery,0,high,Synthetic_RealPattern,1,2023-09-25,22.716057458223474,75.84178129460915
Old Railway Lanes,assault,0,high,Synthetic_RealPattern,0,2023-09-02,22.712339217592124,75.84003131656002
Old Railway Lanes,abduction,21,high,Synthetic_RealPattern,1,2024-11-18,22.713512743730462,75.8403868960972
Old Railway Lanes,assault,23,high,Synthetic_RealPattern,0,2024-04-13,22.71461811375337,75.84338670712378
Old Railway Lanes,molestation,19,high,Synthetic_RealPattern,1,2024-04-14,22.712581777614275,75.84038863008617
Old Railway Lanes,molestation,20,high,Synthetic_RealPattern,1,2023-03-17,22.716230692496325,75.84245098030199
Old Railway Lanes,assault,22,high,Synthetic_RealPattern,0,2024-06-02,22.71617468376965,75.84355427757033
Old Railway Lanes,robbery,0,high,Synthetic_RealPattern,0,2023-03-12,22.711910693774954,75.83994126153857
Old Railway Lanes,mobile_snatching,23,high,Synthetic_RealPattern,1,2023-06-11,22.713383491035355,75.84270387331777
Old Railway Lanes,abduction,23,high,Synthetic_RealPattern,1,2024-09-18,22.712205269858902,75.8408393767022
Old Railway Lanes,molestation,19,high,Synthetic_RealPattern,1,2024-11-14,22.712109042966265,75.84507756125141
Old Railway Lanes,chain_snatching,23,high,Synthetic_RealPattern,1,2024-11-10,22.710621321684126,75.84220127388032
Old Railway Lanes,chain_snatching,21,high,Synthetic_RealPattern,1,2023-09-28,22.71405738600388,75.84413595529864
Old Railway Lanes,robbery,20,high,Synthetic_RealPattern,0,2024-07-20,22.713416074139374,75.84260135925294
Old Railway Lanes,robbery,23,high,Synthetic_RealPattern,1,2024-09-11,22.7107088725075,75.83956047519712
Old Railway Lanes,abduction,0,high,Synthetic_RealPattern,1,2023-07-28,22.71207187878542,75.84309890825355
Old Railway Lanes,mobile_snatching,23,high,Synthetic_RealPattern,0,2024-06-01,22.7158495953158,75.84500842005323
Old Railway Lanes,abduction,19,high,Synthetic_RealPattern,1,2023-04-05,22.711837371344004,75.84290967092087
Old Railway Lanes,chain_snatching,1,high,Synthetic_RealPattern,1,2023-10-11,22.711269369232546,75.84421513315655
Old Railway Lanes,robbery,19,high,Synthetic_RealPattern,1,2023-12-08,22.713336716561667,75.84460523878009
Old Railway Lanes,abduction,23,high,Synthetic_RealPattern,1,2023-06-15,22.716313902724664,75.84066847863168
Malwa Mill,abduction,23,high,Synthetic_RealPattern,1,2024-07-18,22.72185233162907,75.83277226903945
Malwa Mill,chain_snatching,23,high,Synthetic_RealPattern,1,2024-07-28,22.724432813284437,75.83516588593311
Malwa Mill,abduction,20,high,Synthetic_RealPattern,1,2023-03-19,22.724969717691973,75.83396617081884
Malwa Mill,chain_snatching,21,high,Synthetic_RealPattern,1,2024-07-12,22.721825825263956,75.83653916781721
Malwa Mill,molestation,22,high,Synthetic_RealPattern,1,2024-08-19,22.724769298091672,75.83690013874039
Malwa Mill,robbery,21,high,Synthetic_RealPattern,0,2024-03-16,22.722606698796316,75.83362052827582
Malwa Mill,chain_snatching,22,high,Synthetic_RealPattern,1,2024-01-09,22.724193834983563,75.83292122335385
Malwa Mill,abduction,22,high,Synthetic_RealPattern,1,2023-08-04,22.72420117826457,75.83618315309147
Malwa Mill,chain_snatching,21,high,Synthetic_RealPattern,1,2024-11-13,22.72361464810445,75.8331488362133
Malwa Mill,mobile_snatching,22,high,Synthetic_RealPattern,1,2024-07-27,22.72094173862033,75.83643568591108
Malwa Mill,robbery,21,high,Synthetic_RealPattern,0,2023-08-31,22.725411814973537,75.8340424295219
Malwa Mill,robbery,23,high,Synthetic_RealPattern,1,2023-01-26,22.722324680389832,75.83550529939575
Malwa Mill,abduction,22,high,Synthetic_RealPattern,1,2024-02-26,22.7215191110624,75.83207321188301
Malwa Mill,robbery,21,high,Synthetic_RealPattern,1,2023-10-01,22.72064465084933,75.83524315594806
Malwa Mill,chain_snatching,20,high,Synthetic_RealPattern,1,2024-01-27,22.72394535765913,75.83421060607243
Malwa Mill,robbery,23,high,Synthetic_RealPattern,0,2023-08-16,22.724465386171055,75.83501965077906
Malwa Mill,robbery,22,high,Synthetic_RealPattern,0,2023-11-09,22.72049952697357,75.83250808524647
Malwa Mill,robbery,20,high,Synthetic_RealPattern,0,2024-11-06,22.723472558349798,75.83592124246967
Malwa Mill,chain_snatching,22,high,Synthetic_RealPattern,1,2023-10-13,22.721758974651188,75.83667678246526
Malwa Mill,abduction,22,high,Synthetic_RealPattern,1,2023-12-26,22.724271036742458,75.83280043880055
Malwa Mill,abduction,0,high,Synthetic_RealPattern,1,2024-02-14,22.721446198574032,75.83207428733313
Malwa Mill,chain_snatching,0,high,Synthetic_RealPattern,1,2023-12-06,22.724545626428615,75.83164183151628
Malwa Mill,robbery,20,high,Synthetic_RealPattern,1,2023-09-25,22.722720412077805,75.83535182900266
Malwa Mill,chain_snatching,22,high,Synthetic_RealPattern,1,2023-02-09,22.72602037993242,75.83514256421654
Malwa Mill,assault,0,high,Synthetic_RealPattern,1,2024-03-20,22.721225125664876,75.83478018447629
Malwa Mill,molestation,22,high,Synthetic_RealPattern,1,2024-03-22,22.722446398106303,75.8328916825767
Malwa Mill,mobile_snatching,0,high,Synthetic_RealPattern,1,2023-04-29,22.721080841127446,75.83384543597543
Malwa Mill,chain_snatching,21,high,Synthetic_RealPattern,1,2023-09-18,22.725948161709674,75.83506685801112
Malwa Mill,molestation,23,high,Synthetic_RealPattern,1,2023-01-02,22.72566403612029,75.83448060115316
Malwa Mill,abduction,0,high,Synthetic_RealPattern,1,2024-12-04,22.721947649766292,75.83742671312129
Malwa Mill,mobile_snatching,21,high,Synthetic_RealPattern,0,2024-01-08,22.724359904276206,75.83231863851535
Malwa Mill,assault,22,high,Synthetic_RealPattern,1,2024-09-30,22.725303333201207,75.8356708673243
Malwa Mill,molestation,20,high,Synthetic_RealPattern,1,2023-11-04,22.723731204869598,75.83392591260863
Malwa Mill,mobile_snatching,22,high,Synthetic_RealPattern,0,2024-11-13,22.723577903470137,75.83406919768956
Malwa Mill,assault,23,high,Synthetic_RealPattern,1,2024-12-14,22.721851113745405,75.83580558659395
Malwa Mill,mobile_snatching,21,high,Synthetic_RealPattern,1,2023-07-16,22.720958616606836,75.83565461690795
Malwa Mill,abduction,23,high,Synthetic_RealPattern,1,2024-11-24,22.72578329454772,75.83744753596221
Malwa Mill,molestation,21,high,Synthetic_RealPattern,1,2024-09-22,22.72580250834298,75.83227036573673
Malwa Mill,molestation,22,high,Synthetic_RealPattern,1,2024-02-20,22.72419860874364,75.83212465789632
Malwa Mill,assault,20,high,Synthetic_RealPattern,0,2023-11-08,22.722434178746294,75.83584603290278
Malwa Mill,molestation,23,high,Synthetic_RealPattern,1,2024-08-16,22.722495257447676,75.83497032150204
Malwa Mill,mobile_snatching,22,high,Synthetic_RealPattern,0,2024-04-21,22.724755734073224,75.83314496399936
Malwa Mill,mobile_snatching,21,high,Synthetic_RealPattern,1,2024-06-07,22.725782661559716,75.83197651621394
Malwa Mill,chain_snatching,21,high,Synthetic_RealPattern,1,2024-11-05,22.72572251854559,75.83201394949758
Malwa Mill,abduction,22,high,Synthetic_RealPattern,1,2024-06-11,22.725079253275148,75.83686514524798
Malwa Mill,chain_snatching,0,high,Synthetic_RealPattern,1,2023-12-10,22.72425218987693,75.83265120394832
Malwa Mill,assault,21,high,Synthetic_RealPattern,0,2024-11-19,22.720904839789974,75.8334402293727
Malwa Mill,chain_snatching,21,high,Synthetic_RealPattern,1,2023-05-31,22.721369772284568,75.83285993841336
Malwa Mill,mobile_snatching,20,high,Synthetic_RealPattern,1,2023-09-08,22.725791325131166,75.833629977835
Malwa Mill,mobile_snatching,20,high,Synthetic_RealPattern,1,2024-04-11,22.72403857435796,75.83191654305648
Malwa Mill,abduction,0,high,Synthetic_RealPattern,1,2023-07-19,22.720455182309703,75.83461435874545
Malwa Mill,mobile_snatching,23,high,Synthetic_RealPattern,0,2024-05-21,22.721008829257197,75.83190567538156
Malwa Mill,abduction,21,high,Synthetic_RealPattern,1,2024-11-02,22.72438101061465,75.83630213904694
Malwa Mill,mobile_snatching,20,high,Synthetic_RealPattern,0,2023-04-20,22.720430369503077,75.83290227249147
Malwa Mill,molestation,21,high,Synthetic_RealPattern,1,2024-12-13,22.721364848308507,75.83474007148763
Malwa Mill,molestation,23,high,Synthetic_RealPattern,1,2023-02-21,22.7236924027362,75.83678047452537
Malwa Mill,mobile_snatching,21,high,Synthetic_RealPattern,0,2023-05-05,22.72455137118616,75.83540526421429
Malwa Mill,molestation,23,high,Synthetic_RealPattern,1,2024-11-14,22.724311767557015,75.83469774671931
Malwa Mill,assault,0,high,Synthetic_RealPattern,0,2024-09-01,22.721745615856765,75.8334460025187
Malwa Mill,mobile_snatching,0,high,Synthetic_RealPattern,1,2024-05-31,22.724673075328088,75.83349801147835
Nemawar Road,abduction,23,high,Synthetic_RealPattern,1,2023-06-12,22.65272349452498,75.8244169217312
Nemawar Road,assault,23,high,Synthetic_RealPattern,0,2024-04-05,22.653252398188954,75.82636483616733
Nemawar Road,molestation,1,high,Synthetic_RealPattern,1,2023-10-11,22.655778948430708,75.82437103513911
Nemawar Road,robbery,23,high,Synthetic_RealPattern,0,2024-10-03,22.655197797394283,75.82374670050423
Nemawar Road,abduction,23,high,Synthetic_RealPattern,1,2023-03-21,22.656395340462964,75.82478390306144
Nemawar Road,assault,22,high,Synthetic_RealPattern,0,2023-08-29,22.6552456773538,75.82319123367371
Nemawar Road,chain_snatching,22,high,Synthetic_RealPattern,1,2024-07-07,22.654709851620012,75.8207608540556
Nemawar Road,robbery,21,high,Synthetic_RealPattern,0,2023-06-04,22.65186204860697,75.82377378089528
Nemawar Road,abduction,1,high,Synthetic_RealPattern,1,2023-06-06,22.653506294818357,75.82614575170705
Nemawar Road,mobile_snatching,21,high,Synthetic_RealPattern,0,2023-03-07,22.65289121420609,75.82145181765415
Nemawar Road,mobile_snatching,22,high,Synthetic_RealPattern,0,2024-07-09,22.652763937860275,75.82454002934493
Nemawar Road,mobile_snatching,20,high,Synthetic_RealPattern,0,2023-07-31,22.657138063328514,75.82160560213197
Nemawar Road,chain_snatching,0,high,Synthetic_RealPattern,1,2024-12-13,22.653658586348,75.82361496610685
Nemawar Road,mobile_snatching,0,high,Synthetic_RealPattern,0,2024-01-25,22.656652279331063,75.82098005869788
Nemawar Road,mobile_snatching,22,high,Synthetic_RealPattern,0,2023-11-02,22.655086831755984,75.82310222561756
Nemawar Road,molestation,0,high,Synthetic_RealPattern,1,2024-07-13,22.65606886782125,75.82493697997337
Nemawar Road,robbery,21,high,Synthetic_RealPattern,0,2024-05-14,22.65431582255863,75.82248542914544
Nemawar Road,chain_snatching,23,high,Synthetic_RealPattern,1,2024-05-12,22.654761423307757,75.82438947034693
Nemawar Road,abduction,23,high,Synthetic_RealPattern,1,2023-12-11,22.654255106162914,75.82517269976475
Nemawar Road,abduction,1,high,Synthetic_RealPattern,1,2024-02-19,22.652471457926787,75.82596306691688
Nemawar Road,robbery,21,high,Synthetic_RealPattern,1,2024-04-23,22.65563471269157,75.82180785249113
Nemawar Road,mobile_snatching,0,high,Synthetic_RealPattern,1,2023-01-28,22.652984634174643,75.82279589549486
Nemawar Road,chain_snatching,0,high,Synthetic_RealPattern,1,2024-11-09,22.651445895798588,75.82131449607999
Nemawar Road,mobile_snatching,20,high,Synthetic_RealPattern,0,2024-10-20,22.655172833775442,75.82635490101296
Nemawar Road,chain_snatching,23,high,Synthetic_RealPattern,1,2023-07-06,22.652362664076442,75.82596200580755
Nemawar Road,assault,22,high,Synthetic_RealPattern,0,2024-01-24,22.656942751506115,75.8236397427817
Nemawar Road,assault,23,high,Synthetic_RealPattern,0,2023-12-01,22.657023571462016,75.82545219976626
Nemawar Road,assault,22,high,Synthetic_RealPattern,0,2024-03-07,22.65678918634132,75.82352574786364
Nemawar Road,abduction,23,high,Synthetic_RealPattern,1,2023-01-20,22.653520952201532,75.82414151412803
Nemawar Road,assault,0,high,Synthetic_RealPattern,0,2023-02-23,22.651392739699173,75.8209347465927
Nemawar Road,abduction,1,high,Synthetic_RealPattern,1,2023-03-12,22.656869911375527,75.82493162252298
Nemawar Road,robbery,20,high,Synthetic_RealPattern,0,2023-02-01,22.653869104889903,75.82116628090182
Nemawar Road,robbery,20,high,Synthetic_RealPattern,0,2024-09-28,22.65709992891426,75.82535640578152
Nemawar Road,abduction,21,high,Synthetic_RealPattern,1,2024-04-29,22.657081719862536,75.82509216852603
Nemawar Road,robbery,20,high,Synthetic_RealPattern,0,2024-07-31,22.656418056732804,75.82465246818647
Nemawar Road,assault,1,high,Synthetic_RealPattern,0,2023-09-20,22.653066693352418,75.82061696228315
Nemawar Road,abduction,0,high,Synthetic_RealPattern,1,2024-09-13,22.65361058637161,75.82221877013568
Nemawar Road,robbery,1,high,Synthetic_RealPattern,0,2023-04-28,22.6564068200291,75.82197867541947
Nemawar Road,chain_snatching,20,high,Synthetic_RealPattern,1,2024-08-15,22.653201532030938,75.82256081844484
Nemawar Road,abduction,22,high,Synthetic_RealPattern,1,2024-08-12,22.652316956480117,75.82092585648059
Nemawar Road,abduction,23,high,Synthetic_RealPattern,1,2024-02-11,22.65464080757475,75.8260217469382
